SMILES,LogKOC
O=C1C2CCCC=2NC(=O)N1C1CCCCC1,2.14
CN(C)C(=O)Nc1cc(ccc1)C(F)(F)F,1.9
CCSC(=O)N1CCCCCC1,1.92
Clc1c2c(c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c2Cl,5.89
CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl,3.28
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,3.35
CCOP(=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12,2.63
CC(C)(C)c1ccc(cc1)OC1CCCCC1OS(=O)OCC#C,3.6
NC(=O)Nc1cc(Cl)c(Cl)cc1,2.53
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,3.32
Cc1cc2[n]c3SC(=O)Sc3[n]c2cc1,3.36
CCS(=O)(=O)CCSP(=S)(OCC)OCC,3.22
CCOc1nc(ns1)C(Cl)(Cl)Cl,3.0
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,3.0
COC(=O)Nc1ccccc1,1.73
Nc1cc2c3ccccc3ccc2c2ccccc21,5.21
CNC(=O)Oc1cc(C)cc(C)c1,1.71
COc1cc(Cl)c(Cl)c(Cl)c1O,2.8
CNC(=O)Oc1cc(C)c(C)c(C)c1,2.6
CCOP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OCC,3.7
NC(=O)Nc1cccc(Br)c1,2.12
O(P(OCC)(Oc(ccc(SC)c1)c1)=S)CC,3.18
COC(=O)NS(=O)(=O)c1ccc(N)cc1,1.6
COP(=S)(Oc1ccc(cc1)Sc1ccc(cc1)OP(=S)(OC)OC)OC,5.0
ClC(Cl)=C(c1ccccc1Cl)c1ccc(Cl)cc1,5.49
CC1CCCCN1CCCOC(=O)c1cc(Cl)c(Cl)cc1,3.7
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,3.94
OCc1ccc(cc1)-c1ccccc1,2.54
O=C(Oc(c(ccc1)C(CC)C)c1)NC,1.71
OC(=O)CN1c2c(Cl)cccc2SC1=O,1.52
CCSc1[n]c(NC(C)C)[n]c(NC(C)C)[n]1,3.07
OC(=O)c1cccc(Cl)[n]1,1.37
CS(=O)(=O)c1cc(c(c(c1)[N+]([O-])=O)N(CCC)CCC)[N+]([O-])=O,2.92
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.12
Cc1[n]c([n]c(O)c1CCCC)N(C)C,1.95
CC1OCCSC=1C(=O)Nc1ccccc1,2.41
COc1ccc(N)cc1Cl,1.93
CCCOC(=O)Nc1ccccc1,2.06
